weeks	Mon	Tue	Wed	Thu	Fri	Sat	Sun
042	0.60	0.28	0.51	0.24	0.53	0.75	0.62
043	0.43	0.66	0.40	0.74	0.36	0.59	0.45
044	0.38	0.28	0.29	0.37	0.26	0.55	0.45
045	0.39	0.60	0.44	0.62	0.39	0.66	0.50
046	0.67	0.49	0.66	0.29	0.27	0.40	0.64
047	0.71	0.27	0.59	0.44	0.54	0.73	0.61
048	0.61	0.34	0.34	0.33	0.60	0.28	0.56
049	0.76	0.59	0.50	0.75	0.71	0.24	0.44
050	0.58	0.36	0.62	0.54	0.41	0.26	0.45
051	0.59	0.32	0.69	0.57	0.49	0.75	0.28
052	0.49	0.44	0.30	0.56	0.54	0.51	0.73
053	0.68	0.65	0.41	0.54	0.37	0.36	0.68
054	0.35	0.61	0.45	0.58	0.51	0.52	0.26
055	0.28	0.48	0.60	0.48	0.49	0.41	0.70
056	0.71	0.46	0.26	0.70	0.73	0.31	0.40
057	0.41	0.33	0.38	0.40	0.73	0.52	0.43
058	0.54	0.41	0.28	0.35	0.57	0.34	0.38
059	0.59	0.47	0.69	0.61	0.46	0.72	0.39
060	0.42	0.29	0.44	0.53	0.37	0.48	0.60
061	0.71	0.42	0.58	0.58	0.71	0.64	0.70
062	0.41	0.61	0.65	0.57	0.54	0.35	0.25
063	0.51	0.26	0.53	0.52	0.31	0.70	0.31
064	0.31	0.25	0.70	0.36	0.30	0.50	0.28
065	0.30	0.73	0.36	0.28	0.50	0.54	0.25
066	0.48	0.56	0.73	0.45	0.74	0.53	0.38
067	0.39	0.72	0.42	0.41	0.30	0.26	0.70
068	0.62	0.30	0.53	0.51	0.56	0.48	0.37
069	0.39	0.70	0.71	0.45	0.50	0.69	0.67
070	0.31	0.66	0.74	0.65	0.71	0.58	0.64
071	0.40	0.53	0.37	0.47	0.74	0.38	0.55
072	0.25	0.59	0.46	0.69	0.31	0.66	0.35
073	0.50	0.75	0.27	0.50	0.49	0.55	0.69
074	0.52	0.26	0.66	0.45	0.39	0.38	0.43
075	0.29	0.47	0.54	0.38	0.59	0.40	0.36
076	0.31	0.26	0.59	0.55	0.25	0.61	0.27
077	0.70	0.33	0.53	0.52	0.49	0.58	0.64
078	0.62	0.29	0.42	0.46	0.75	0.63	0.53
079	0.73	0.35	0.46	0.40	0.42	0.32	0.68
080	0.34	0.44	0.32	0.29	0.43	0.61	0.55
081	0.53	0.29	0.37	0.52	0.60	0.53	0.76
082	0.74	0.70	0.50	0.30	0.53	0.29	0.47
083	0.47	0.59	0.75	0.26	0.53	0.30	0.71
084	0.49	0.76	0.33	0.63	0.55	0.32	0.56
085	0.60	0.32	0.72	0.66	0.61	0.63	0.30
086	0.66	0.33	0.40	0.65	0.33	0.71	0.49
087	0.75	0.56	0.24	0.52	0.29	0.43	0.38
088	0.54	0.48	0.31	0.50	0.68	0.54	0.34
089	0.31	0.56	0.38	0.25	0.26	0.58	0.31
090	0.47	0.63	0.27	0.48	0.55	0.56	0.62
091	0.51	0.34	0.75	0.43	0.47	0.67	0.67
092	0.72	0.76	0.67	0.61	0.72	0.61	0.67
093	0.25	0.35	0.37	0.72	0.32	0.75	0.41
094	0.38	0.66	0.53	0.45	0.29	0.65	0.67
095	0.27	0.30	0.75	0.63	0.57	0.57	0.51
096	0.46	0.56	0.70	0.58	0.56	0.37	0.66
097	0.46	0.24	0.63	0.37	0.55	0.64	0.57
098	0.71	0.32	0.70	0.60	0.49	0.39	0.38
099	0.72	0.51	0.57	0.56	0.32	0.72	0.71
100	0.57	0.38	0.49	0.28	0.57	0.36	0.50
101	0.46	0.44	0.35	0.71	0.46	0.46	0.57
102	0.37	0.56	0.49	0.28	0.48	0.27	0.62
103	0.33	0.69	0.55	0.46	0.52	0.67	0.46
104	0.72	0.37	0.65	0.54	0.72	0.30	0.36
105	0.70	0.51	0.40	0.76	0.65	0.32	0.65
106	0.26	0.48	0.55	0.28	0.25	0.31	0.42
107	0.49	0.59	0.53	0.75	0.67	0.39	0.68
108	0.29	0.43	0.34	0.68	0.70	0.57	0.55
109	0.25	0.38	0.38	0.71	0.31	0.54	0.53
110	0.61	0.45	0.76	0.45	0.61	0.60	0.55
111	0.64	0.56	0.25	0.69	0.54	0.32	0.58
112	0.72	0.57	0.55	0.66	0.53	0.42	0.39
113	0.66	0.64	0.29	0.35	0.35	0.69	0.48
114	0.75	0.29	0.54	0.43	0.34	0.34	0.64
115	0.66	0.35	0.36	0.55	0.39	0.26	0.32
116	0.48	0.27	0.36	0.59	0.74	0.39	0.43
117	0.61	0.74	0.64	0.62	0.33	0.56	0.37
118	0.53	0.46	0.52	0.53	0.31	0.74	0.49
119	0.64	0.43	0.54	0.58	0.32	0.41	0.34
120	0.67	0.25	0.37	0.70	0.44	0.73	0.54
121	0.53	0.44	0.57	0.55	0.68	0.24	0.75
122	0.55	0.34	0.60	0.36	0.26	0.61	0.64
123	0.63	0.58	0.25	0.44	0.68	0.68	0.49
124	0.72	0.39	0.70	0.40	0.33	0.74	0.27
125	0.25	0.56	0.59	0.58	0.58	0.26	0.29
126	0.54	0.46	0.37	0.47	0.53	0.44	0.74
127	0.33	0.52	0.59	0.69	0.36	0.37	0.70
128	0.60	0.65	0.26	0.37	0.46	0.46	0.35
129	0.71	0.57	0.69	0.49	0.49	0.47	0.58
130	0.39	0.61	0.59	0.57	0.38	0.29	0.74
131	0.56	0.52	0.69	0.74	0.41	0.42	0.65
132	0.32	0.30	0.29	0.57	0.66	0.74	0.35
133	0.48	0.35	0.72	0.55	0.66	0.55	0.28
134	0.44	0.69	0.36	0.71	0.36	0.43	0.70
135	0.46	0.54	0.57	0.48	0.26	0.32	0.55
136	0.63	0.59	0.26	0.35	0.47	0.57	0.75
137	0.37	0.44	0.70	0.54	0.55	0.44	0.46
138	0.36	0.76	0.57	0.53	0.73	0.37	0.53
139	0.44	0.59	0.62	0.58	0.40	0.56	0.56
140	0.55	0.66	0.41	0.25	0.65	0.27	0.60
141	0.53	0.52	0.30	0.69	0.57	0.60	0.40
142	0.72	0.64	0.41	0.44	0.49	0.25	0.45
143	0.37	0.34	0.74	0.66	0.38	0.57	0.51
144	0.48	0.30	0.34	0.37	0.28	0.30	0.65
145	0.44	0.51	0.61	0.26	0.41	0.25	0.48
146	0.38	0.44	0.56	0.45	0.26	0.27	0.44
147	0.61	0.30	0.34	0.71	0.30	0.55	0.41
148	0.37	0.72	0.37	0.26	0.40	0.58	0.27
149	0.56	0.52	0.57	0.41	0.63	0.48	0.52
150	0.61	0.58	0.62	0.53	0.28	0.44	0.39
151	0.66	0.46	0.29	0.73	0.39	0.52	0.28
152	0.65	0.63	0.45	0.45	0.73	0.47	0.36
153	0.46	0.66	0.39	0.53	0.36	0.69	0.52
154	0.63	0.37	0.29	0.43	0.32	0.75	0.26
155	0.75	0.54	0.38	0.49	0.48	0.43	0.41
156	0.75	0.75	0.57	0.74	0.34	0.73	0.33
157	0.32	0.65	0.62	0.49	0.47	0.61	0.36
158	0.58	0.58	0.61	0.70	0.44	0.35	0.32
159	0.41	0.34	0.59	0.38	0.64	0.28	0.57
160	0.52	0.47	0.25	0.54	0.42	0.62	0.25
161	0.27	0.75	0.47	0.41	0.30	0.46	0.66
162	0.43	0.39	0.62	0.74	0.49	0.42	0.33
163	0.64	0.53	0.37	0.55	0.34	0.68	0.30
164	0.34	0.60	0.31	0.53	0.28	0.41	0.38
165	0.52	0.59	0.50	0.39	0.43	0.63	0.49
166	0.33	0.56	0.75	0.58	0.60	0.47	0.35
167	0.64	0.70	0.61	0.55	0.39	0.59	0.27
168	0.50	0.29	0.57	0.31	0.38	0.43	0.58
169	0.63	0.68	0.45	0.57	0.76	0.25	0.29
170	0.70	0.34	0.52	0.26	0.62	0.56	0.75
171	0.69	0.62	0.25	0.55	0.31	0.41	0.75
172	0.25	0.53	0.38	0.35	0.49	0.69	0.26
173	0.30	0.56	0.74	0.43	0.74	0.58	0.39
174	0.37	0.50	0.26	0.54	0.48	0.68	0.59
175	0.59	0.67	0.74	0.69	0.35	0.68	0.28
176	0.31	0.62	0.50	0.49	0.70	0.60	0.27
177	0.40	0.68	0.29	0.75	0.39	0.67	0.48
178	0.60	0.49	0.67	0.26	0.71	0.66	0.32
179	0.50	0.34	0.53	0.55	0.74	0.55	0.53
180	0.27	0.67	0.61	0.65	0.35	0.44	0.61
181	0.60	0.43	0.45	0.57	0.53	0.49	0.65
182	0.65	0.50	0.71	0.61	0.42	0.75	0.38
183	0.39	0.25	0.70	0.62	0.47	0.40	0.67
184	0.54	0.43	0.70	0.39	0.26	0.74	0.64
185	0.26	0.62	0.31	0.65	0.55	0.63	0.32
186	0.33	0.25	0.72	0.62	0.44	0.67	0.34
187	0.42	0.67	0.61	0.29	0.51	0.63	0.41
188	0.33	0.27	0.41	0.63	0.67	0.58	0.71
189	0.31	0.71	0.31	0.58	0.55	0.43	0.74
190	0.28	0.32	0.43	0.61	0.48	0.44	0.59
191	0.50	0.76	0.56	0.62	0.38	0.64	0.69
192	0.38	0.44	0.70	0.34	0.75	0.58	0.62
193	0.33	0.57	0.74	0.43	0.76	0.49	0.51
194	0.46	0.25	0.61	0.29	0.36	0.43	0.33
195	0.31	0.65	0.65	0.76	0.30	0.62	0.27
196	0.56	0.33	0.73	0.70	0.43	0.41	0.72
197	0.74	0.72	0.55	0.67	0.50	0.51	0.54
198	0.46	0.55	0.38	0.72	0.35	0.49	0.51
199	0.67	0.26	0.40	0.70	0.61	0.59	0.42
200	0.56	0.51	0.38	0.29	0.40	0.58	0.52
