num	date	dow	value
138	2024-12-16	月曜日	0.63
139	2024-12-17	火曜日	0.47
140	2024-12-18	水曜日	0.52
141	2024-12-19	木曜日	0.74
142	2024-12-20	金曜日	0.49
143	2024-12-21	土曜日	0.47
144	2024-12-22	日曜日	0.71
145	2024-12-23	月曜日	0.63
146	2024-12-24	火曜日	0.27
147	2024-12-25	水曜日	0.27
148	2024-12-26	木曜日	0.56
149	2024-12-27	金曜日	0.70
150	2024-12-28	土曜日	0.31
151	2024-12-29	日曜日	0.43
152	2024-12-30	月曜日	0.52
153	2024-12-31	火曜日	0.41
154	2025-01-01	水曜日	0.51
155	2025-01-02	木曜日	0.65
156	2025-01-03	金曜日	0.33
157	2025-01-04	土曜日	0.36
158	2025-01-05	日曜日	0.71
159	2025-01-06	月曜日	0.55
160	2025-01-07	火曜日	0.55
161	2025-01-08	水曜日	0.64
162	2025-01-09	木曜日	0.64
163	2025-01-10	金曜日	0.26
164	2025-01-11	土曜日	0.69
165	2025-01-12	日曜日	0.31
166	2025-01-13	月曜日	0.51
167	2025-01-14	火曜日	0.51
168	2025-01-15	水曜日	0.40
169	2025-01-16	木曜日	0.76
170	2025-01-17	金曜日	0.49
171	2025-01-18	土曜日	0.30
172	2025-01-19	日曜日	0.44
173	2025-01-20	月曜日	0.47
174	2025-01-21	火曜日	0.70
175	2025-01-22	水曜日	0.44
176	2025-01-23	木曜日	0.56
177	2025-01-24	金曜日	0.30
178	2025-01-25	土曜日	0.58
179	2025-01-26	日曜日	0.50
180	2025-01-27	月曜日	0.62
181	2025-01-28	火曜日	0.50
182	2025-01-29	水曜日	0.46
183	2025-01-30	木曜日	0.29
184	2025-01-31	金曜日	0.70
185	2025-02-01	土曜日	0.70
186	2025-02-02	日曜日	0.69
187	2025-02-03	月曜日	0.36
188	2025-02-04	火曜日	0.33
189	2025-02-05	水曜日	0.75
190	2025-02-06	木曜日	0.55
191	2025-02-07	金曜日	0.28
192	2025-02-08	土曜日	0.39
193	2025-02-09	日曜日	0.35
194	2025-02-10	月曜日	0.46
195	2025-02-11	火曜日	0.31
196	2025-02-12	水曜日	0.46
197	2025-02-13	木曜日	0.39
198	2025-02-14	金曜日	0.59
199	2025-02-15	土曜日	0.51
200	2025-02-16	日曜日	0.59
201	2025-02-17	月曜日	0.52
202	2025-02-18	火曜日	0.69
203	2025-02-19	水曜日	0.32
204	2025-02-20	木曜日	0.47
205	2025-02-21	金曜日	0.54
206	2025-02-22	土曜日	0.60
207	2025-02-23	日曜日	0.60
208	2025-02-24	月曜日	0.74
209	2025-02-25	火曜日	0.34
210	2025-02-26	水曜日	0.27
211	2025-02-27	木曜日	0.33
212	2025-02-28	金曜日	0.66
213	2025-03-01	土曜日	0.55
214	2025-03-02	日曜日	0.41
215	2025-03-03	月曜日	0.49
216	2025-03-04	火曜日	0.30
217	2025-03-05	水曜日	0.26
218	2025-03-06	木曜日	0.40
219	2025-03-07	金曜日	0.71
220	2025-03-08	土曜日	0.32
221	2025-03-09	日曜日	0.57
222	2025-03-10	月曜日	0.59
223	2025-03-11	火曜日	0.45
224	2025-03-12	水曜日	0.61
225	2025-03-13	木曜日	0.37
226	2025-03-14	金曜日	0.32
227	2025-03-15	土曜日	0.73
228	2025-03-16	日曜日	0.74
229	2025-03-17	月曜日	0.61
230	2025-03-18	火曜日	0.33
231	2025-03-19	水曜日	0.70
232	2025-03-20	木曜日	0.32
233	2025-03-21	金曜日	0.60
234	2025-03-22	土曜日	0.33
235	2025-03-23	日曜日	0.74
236	2025-03-24	月曜日	0.33
237	2025-03-25	火曜日	0.50
238	2025-03-26	水曜日	0.72
239	2025-03-27	木曜日	0.33
240	2025-03-28	金曜日	0.59
241	2025-03-29	土曜日	0.64
242	2025-03-30	日曜日	0.41
243	2025-03-31	月曜日	0.64
244	2025-04-01	火曜日	0.65
245	2025-04-02	水曜日	0.32
246	2025-04-03	木曜日	0.37
247	2025-04-04	金曜日	0.52
248	2025-04-05	土曜日	0.33
249	2025-04-06	日曜日	0.26
250	2025-04-07	月曜日	0.37
251	2025-04-08	火曜日	0.38
252	2025-04-09	水曜日	0.24
253	2025-04-10	木曜日	0.36
254	2025-04-11	金曜日	0.64
255	2025-04-12	土曜日	0.55
256	2025-04-13	日曜日	0.71
257	2025-04-14	月曜日	0.76
258	2025-04-15	火曜日	0.31
259	2025-04-16	水曜日	0.73
260	2025-04-17	木曜日	0.58
261	2025-04-18	金曜日	0.55
262	2025-04-19	土曜日	0.54
263	2025-04-20	日曜日	0.61
264	2025-04-21	月曜日	0.51
265	2025-04-22	火曜日	0.59
266	2025-04-23	水曜日	0.28
267	2025-04-24	木曜日	0.59
268	2025-04-25	金曜日	0.52
269	2025-04-26	土曜日	0.40
270	2025-04-27	日曜日	0.40
271	2025-04-28	月曜日	0.42
272	2025-04-29	火曜日	0.63
273	2025-04-30	水曜日	0.55
274	2025-05-01	木曜日	0.39
275	2025-05-02	金曜日	0.74
276	2025-05-03	土曜日	0.24
277	2025-05-04	日曜日	0.75
278	2025-05-05	月曜日	0.56
279	2025-05-06	火曜日	0.69
280	2025-05-07	水曜日	0.39
281	2025-05-08	木曜日	0.31
282	2025-05-09	金曜日	0.73
283	2025-05-10	土曜日	0.31
284	2025-05-11	日曜日	0.57
285	2025-05-12	月曜日	0.33
286	2025-05-13	火曜日	0.56
287	2025-05-14	水曜日	0.59
288	2025-05-15	木曜日	0.60
289	2025-05-16	金曜日	0.28
290	2025-05-17	土曜日	0.51
291	2025-05-18	日曜日	0.24
292	2025-05-19	月曜日	0.53
293	2025-05-20	火曜日	0.75
294	2025-05-21	水曜日	0.62
295	2025-05-22	木曜日	0.43
296	2025-05-23	金曜日	0.66
297	2025-05-24	土曜日	0.40
298	2025-05-25	日曜日	0.74
299	2025-05-26	月曜日	0.36
300	2025-05-27	火曜日	0.59
301	2025-05-28	水曜日	0.45
302	2025-05-29	木曜日	0.38
303	2025-05-30	金曜日	0.28
304	2025-05-31	土曜日	0.29
305	2025-06-01	日曜日	0.37
306	2025-06-02	月曜日	0.26
307	2025-06-03	火曜日	0.55
308	2025-06-04	水曜日	0.45
309	2025-06-05	木曜日	0.39
310	2025-06-06	金曜日	0.60
311	2025-06-07	土曜日	0.44
312	2025-06-08	日曜日	0.62
313	2025-06-09	月曜日	0.39
314	2025-06-10	火曜日	0.66
315	2025-06-11	水曜日	0.50
316	2025-06-12	木曜日	0.67
317	2025-06-13	金曜日	0.49
318	2025-06-14	土曜日	0.66
319	2025-06-15	日曜日	0.29
320	2025-06-16	月曜日	0.27
321	2025-06-17	火曜日	0.40
322	2025-06-18	水曜日	0.64
323	2025-06-19	木曜日	0.71
324	2025-06-20	金曜日	0.27
325	2025-06-21	土曜日	0.59
326	2025-06-22	日曜日	0.44
327	2025-06-23	月曜日	0.54
328	2025-06-24	火曜日	0.73
329	2025-06-25	水曜日	0.61
330	2025-06-26	木曜日	0.61
331	2025-06-27	金曜日	0.34
332	2025-06-28	土曜日	0.34
333	2025-06-29	日曜日	0.33
334	2025-06-30	月曜日	0.60
335	2025-07-01	火曜日	0.28
336	2025-07-02	水曜日	0.56
337	2025-07-03	木曜日	0.76
338	2025-07-04	金曜日	0.59
339	2025-07-05	土曜日	0.50
340	2025-07-06	日曜日	0.75
341	2025-07-07	月曜日	0.71
342	2025-07-08	火曜日	0.24
343	2025-07-09	水曜日	0.44
344	2025-07-10	木曜日	0.58
345	2025-07-11	金曜日	0.36
346	2025-07-12	土曜日	0.62
347	2025-07-13	日曜日	0.54
348	2025-07-14	月曜日	0.41
349	2025-07-15	火曜日	0.26
350	2025-07-16	水曜日	0.45
351	2025-07-17	木曜日	0.59
352	2025-07-18	金曜日	0.32
353	2025-07-19	土曜日	0.69
354	2025-07-20	日曜日	0.57
355	2025-07-21	月曜日	0.49
356	2025-07-22	火曜日	0.75
357	2025-07-23	水曜日	0.28
358	2025-07-24	木曜日	0.49
359	2025-07-25	金曜日	0.44
360	2025-07-26	土曜日	0.30
361	2025-07-27	日曜日	0.56
362	2025-07-28	月曜日	0.54
363	2025-07-29	火曜日	0.51
364	2025-07-30	水曜日	0.73
365	2025-07-31	木曜日	0.68
366	2025-08-01	金曜日	0.65
367	2025-08-02	土曜日	0.41
368	2025-08-03	日曜日	0.54
369	2025-08-04	月曜日	0.37
370	2025-08-05	火曜日	0.36
371	2025-08-06	水曜日	0.68
372	2025-08-07	木曜日	0.35
373	2025-08-08	金曜日	0.61
374	2025-08-09	土曜日	0.45
375	2025-08-10	日曜日	0.58
376	2025-08-11	月曜日	0.51
377	2025-08-12	火曜日	0.52
378	2025-08-13	水曜日	0.26
379	2025-08-14	木曜日	0.28
380	2025-08-15	金曜日	0.48
381	2025-08-16	土曜日	0.60
382	2025-08-17	日曜日	0.48
383	2025-08-18	月曜日	0.49
384	2025-08-19	火曜日	0.41
385	2025-08-20	水曜日	0.70
386	2025-08-21	木曜日	0.71
387	2025-08-22	金曜日	0.46
388	2025-08-23	土曜日	0.26
389	2025-08-24	日曜日	0.70
390	2025-08-25	月曜日	0.73
391	2025-08-26	火曜日	0.31
392	2025-08-27	水曜日	0.40
393	2025-08-28	木曜日	0.41
394	2025-08-29	金曜日	0.33
395	2025-08-30	土曜日	0.38
396	2025-08-31	日曜日	0.40
397	2025-09-01	月曜日	0.73
398	2025-09-02	火曜日	0.52
399	2025-09-03	水曜日	0.43
400	2025-09-04	木曜日	0.54
401	2025-09-05	金曜日	0.41
402	2025-09-06	土曜日	0.28
403	2025-09-07	日曜日	0.35
404	2025-09-08	月曜日	0.57
405	2025-09-09	火曜日	0.34
406	2025-09-10	水曜日	0.38
407	2025-09-11	木曜日	0.59
408	2025-09-12	金曜日	0.47
409	2025-09-13	土曜日	0.69
410	2025-09-14	日曜日	0.61
411	2025-09-15	月曜日	0.46
412	2025-09-16	火曜日	0.72
413	2025-09-17	水曜日	0.39
414	2025-09-18	木曜日	0.42
415	2025-09-19	金曜日	0.29
416	2025-09-20	土曜日	0.44
417	2025-09-21	日曜日	0.53
418	2025-09-22	月曜日	0.37
419	2025-09-23	火曜日	0.48
420	2025-09-24	水曜日	0.60
421	2025-09-25	木曜日	0.71
422	2025-09-26	金曜日	0.42
423	2025-09-27	土曜日	0.58
424	2025-09-28	日曜日	0.58
425	2025-09-29	月曜日	0.71
426	2025-09-30	火曜日	0.64
427	2025-10-01	水曜日	0.70
428	2025-10-02	木曜日	0.41
429	2025-10-03	金曜日	0.61
430	2025-10-04	土曜日	0.65
431	2025-10-05	日曜日	0.57
432	2025-10-06	月曜日	0.54
433	2025-10-07	火曜日	0.35
434	2025-10-08	水曜日	0.25
435	2025-10-09	木曜日	0.51
436	2025-10-10	金曜日	0.26
437	2025-10-11	土曜日	0.53
438	2025-10-12	日曜日	0.52
439	2025-10-13	月曜日	0.31
440	2025-10-14	火曜日	0.70
441	2025-10-15	水曜日	0.31
442	2025-10-16	木曜日	0.31
443	2025-10-17	金曜日	0.25
444	2025-10-18	土曜日	0.70
445	2025-10-19	日曜日	0.36
446	2025-10-20	月曜日	0.30
447	2025-10-21	火曜日	0.50
448	2025-10-22	水曜日	0.28
449	2025-10-23	木曜日	0.30
450	2025-10-24	金曜日	0.73
451	2025-10-25	土曜日	0.36
452	2025-10-26	日曜日	0.28
453	2025-10-27	月曜日	0.50
454	2025-10-28	火曜日	0.54
455	2025-10-29	水曜日	0.25
456	2025-10-30	木曜日	0.48
457	2025-10-31	金曜日	0.56
458	2025-11-01	土曜日	0.73
459	2025-11-02	日曜日	0.45
460	2025-11-03	月曜日	0.74
461	2025-11-04	火曜日	0.53
462	2025-11-05	水曜日	0.38
463	2025-11-06	木曜日	0.39
464	2025-11-07	金曜日	0.72
465	2025-11-08	土曜日	0.42
466	2025-11-09	日曜日	0.41
467	2025-11-10	月曜日	0.30
468	2025-11-11	火曜日	0.26
469	2025-11-12	水曜日	0.70
470	2025-11-13	木曜日	0.62
471	2025-11-14	金曜日	0.30
472	2025-11-15	土曜日	0.53
473	2025-11-16	日曜日	0.51
474	2025-11-17	月曜日	0.56
475	2025-11-18	火曜日	0.48
476	2025-11-19	水曜日	0.37
477	2025-11-20	木曜日	0.39
478	2025-11-21	金曜日	0.70
479	2025-11-22	土曜日	0.71
480	2025-11-23	日曜日	0.45
481	2025-11-24	月曜日	0.50
482	2025-11-25	火曜日	0.69
483	2025-11-26	水曜日	0.67
484	2025-11-27	木曜日	0.31
485	2025-11-28	金曜日	0.66
486	2025-11-29	土曜日	0.74
487	2025-11-30	日曜日	0.65
488	2025-12-01	月曜日	0.71
489	2025-12-02	火曜日	0.58
490	2025-12-03	水曜日	0.64
491	2025-12-04	木曜日	0.40
492	2025-12-05	金曜日	0.53
493	2025-12-06	土曜日	0.37
494	2025-12-07	日曜日	0.47
495	2025-12-08	月曜日	0.74
496	2025-12-09	火曜日	0.38
497	2025-12-10	水曜日	0.55
498	2025-12-11	木曜日	0.25
499	2025-12-12	金曜日	0.59
500	2025-12-13	土曜日	0.46
501	2025-12-14	日曜日	0.69
502	2025-12-15	月曜日	0.31
503	2025-12-16	火曜日	0.66
504	2025-12-17	水曜日	0.35
505	2025-12-18	木曜日	0.50
506	2025-12-19	金曜日	0.75
507	2025-12-20	土曜日	0.27
508	2025-12-21	日曜日	0.50
509	2025-12-22	月曜日	0.49
510	2025-12-23	火曜日	0.55
511	2025-12-24	水曜日	0.69
512	2025-12-25	木曜日	0.52
513	2025-12-26	金曜日	0.26
514	2025-12-27	土曜日	0.66
515	2025-12-28	日曜日	0.45
516	2025-12-29	月曜日	0.39
517	2025-12-30	火曜日	0.38
518	2025-12-31	水曜日	0.43
519	2026-01-01	木曜日	0.29
520	2026-01-02	金曜日	0.47
521	2026-01-03	土曜日	0.54
522	2026-01-04	日曜日	0.38
523	2026-01-05	月曜日	0.59
524	2026-01-06	火曜日	0.40
525	2026-01-07	水曜日	0.36
526	2026-01-08	木曜日	0.31
527	2026-01-09	金曜日	0.26
528	2026-01-10	土曜日	0.59
529	2026-01-11	日曜日	0.55
530	2026-01-12	月曜日	0.25
531	2026-01-13	火曜日	0.61
532	2026-01-14	水曜日	0.27
533	2026-01-15	木曜日	0.70
534	2026-01-16	金曜日	0.33
535	2026-01-17	土曜日	0.53
536	2026-01-18	日曜日	0.52
537	2026-01-19	月曜日	0.49
538	2026-01-20	火曜日	0.58
539	2026-01-21	水曜日	0.64
540	2026-01-22	木曜日	0.62
541	2026-01-23	金曜日	0.29
542	2026-01-24	土曜日	0.42
543	2026-01-25	日曜日	0.46
544	2026-01-26	月曜日	0.75
545	2026-01-27	火曜日	0.63
546	2026-01-28	水曜日	0.53
547	2026-01-29	木曜日	0.73
548	2026-01-30	金曜日	0.35
549	2026-01-31	土曜日	0.46
550	2026-02-01	日曜日	0.40
551	2026-02-02	月曜日	0.42
552	2026-02-03	火曜日	0.32
553	2026-02-04	水曜日	0.68
554	2026-02-05	木曜日	0.34
555	2026-02-06	金曜日	0.44
556	2026-02-07	土曜日	0.32
557	2026-02-08	日曜日	0.29
558	2026-02-09	月曜日	0.43
559	2026-02-10	火曜日	0.61
560	2026-02-11	水曜日	0.55
561	2026-02-12	木曜日	0.53
562	2026-02-13	金曜日	0.29
563	2026-02-14	土曜日	0.37
564	2026-02-15	日曜日	0.52
565	2026-02-16	月曜日	0.60
566	2026-02-17	火曜日	0.53
567	2026-02-18	水曜日	0.76
568	2026-02-19	木曜日	0.74
569	2026-02-20	金曜日	0.70
570	2026-02-21	土曜日	0.50
571	2026-02-22	日曜日	0.30
572	2026-02-23	月曜日	0.53
573	2026-02-24	火曜日	0.29
574	2026-02-25	水曜日	0.47
575	2026-02-26	木曜日	0.47
576	2026-02-27	金曜日	0.59
577	2026-02-28	土曜日	0.75
578	2026-03-01	日曜日	0.26
579	2026-03-02	月曜日	0.53
580	2026-03-03	火曜日	0.30
581	2026-03-04	水曜日	0.71
582	2026-03-05	木曜日	0.49
583	2026-03-06	金曜日	0.76
584	2026-03-07	土曜日	0.33
585	2026-03-08	日曜日	0.63
586	2026-03-09	月曜日	0.55
587	2026-03-10	火曜日	0.32
588	2026-03-11	水曜日	0.56
589	2026-03-12	木曜日	0.60
590	2026-03-13	金曜日	0.32
591	2026-03-14	土曜日	0.72
592	2026-03-15	日曜日	0.66
593	2026-03-16	月曜日	0.61
594	2026-03-17	火曜日	0.63
595	2026-03-18	水曜日	0.30
596	2026-03-19	木曜日	0.66
597	2026-03-20	金曜日	0.33
598	2026-03-21	土曜日	0.40
599	2026-03-22	日曜日	0.65
600	2026-03-23	月曜日	0.33
601	2026-03-24	火曜日	0.71
602	2026-03-25	水曜日	0.49
603	2026-03-26	木曜日	0.75
604	2026-03-27	金曜日	0.56
605	2026-03-28	土曜日	0.24
606	2026-03-29	日曜日	0.52
607	2026-03-30	月曜日	0.29
608	2026-03-31	火曜日	0.43
609	2026-04-01	水曜日	0.38
610	2026-04-02	木曜日	0.54
611	2026-04-03	金曜日	0.48
612	2026-04-04	土曜日	0.31
613	2026-04-05	日曜日	0.50
614	2026-04-06	月曜日	0.68
615	2026-04-07	火曜日	0.54
616	2026-04-08	水曜日	0.34
617	2026-04-09	木曜日	0.31
618	2026-04-10	金曜日	0.56
619	2026-04-11	土曜日	0.38
620	2026-04-12	日曜日	0.25
621	2026-04-13	月曜日	0.26
622	2026-04-14	火曜日	0.58
623	2026-04-15	水曜日	0.31
624	2026-04-16	木曜日	0.47
625	2026-04-17	金曜日	0.63
626	2026-04-18	土曜日	0.27
627	2026-04-19	日曜日	0.48
628	2026-04-20	月曜日	0.55
629	2026-04-21	火曜日	0.56
630	2026-04-22	水曜日	0.62
631	2026-04-23	木曜日	0.51
632	2026-04-24	金曜日	0.34
633	2026-04-25	土曜日	0.75
634	2026-04-26	日曜日	0.43
635	2026-04-27	月曜日	0.47
636	2026-04-28	火曜日	0.67
637	2026-04-29	水曜日	0.67
638	2026-04-30	木曜日	0.72
639	2026-05-01	金曜日	0.76
640	2026-05-02	土曜日	0.67
641	2026-05-03	日曜日	0.61
642	2026-05-04	月曜日	0.72
643	2026-05-05	火曜日	0.61
644	2026-05-06	水曜日	0.67
645	2026-05-07	木曜日	0.25
646	2026-05-08	金曜日	0.35
647	2026-05-09	土曜日	0.37
648	2026-05-10	日曜日	0.72
649	2026-05-11	月曜日	0.32
650	2026-05-12	火曜日	0.75
651	2026-05-13	水曜日	0.41
652	2026-05-14	木曜日	0.38
653	2026-05-15	金曜日	0.66
654	2026-05-16	土曜日	0.53
655	2026-05-17	日曜日	0.45
656	2026-05-18	月曜日	0.29
657	2026-05-19	火曜日	0.65
658	2026-05-20	水曜日	0.67
659	2026-05-21	木曜日	0.27
660	2026-05-22	金曜日	0.30
661	2026-05-23	土曜日	0.75
662	2026-05-24	日曜日	0.63
663	2026-05-25	月曜日	0.57
664	2026-05-26	火曜日	0.57
665	2026-05-27	水曜日	0.51
666	2026-05-28	木曜日	0.46
667	2026-05-29	金曜日	0.56
668	2026-05-30	土曜日	0.70
669	2026-05-31	日曜日	0.58
670	2026-06-01	月曜日	0.56
671	2026-06-02	火曜日	0.37
672	2026-06-03	水曜日	0.66
673	2026-06-04	木曜日	0.46
674	2026-06-05	金曜日	0.24
675	2026-06-06	土曜日	0.63
676	2026-06-07	日曜日	0.37
677	2026-06-08	月曜日	0.55
678	2026-06-09	火曜日	0.64
679	2026-06-10	水曜日	0.57
680	2026-06-11	木曜日	0.71
681	2026-06-12	金曜日	0.32
682	2026-06-13	土曜日	0.70
683	2026-06-14	日曜日	0.60
684	2026-06-15	月曜日	0.49
685	2026-06-16	火曜日	0.39
686	2026-06-17	水曜日	0.38
687	2026-06-18	木曜日	0.72
688	2026-06-19	金曜日	0.51
689	2026-06-20	土曜日	0.57
690	2026-06-21	日曜日	0.56
691	2026-06-22	月曜日	0.32
692	2026-06-23	火曜日	0.72
693	2026-06-24	水曜日	0.71
694	2026-06-25	木曜日	0.57
695	2026-06-26	金曜日	0.38
696	2026-06-27	土曜日	0.49
697	2026-06-28	日曜日	0.28
698	2026-06-29	月曜日	0.57
699	2026-06-30	火曜日	0.36
700	2026-07-01	水曜日	0.50
701	2026-07-02	木曜日	0.46
702	2026-07-03	金曜日	0.44
703	2026-07-04	土曜日	0.35
704	2026-07-05	日曜日	0.71
705	2026-07-06	月曜日	0.46
706	2026-07-07	火曜日	0.46
707	2026-07-08	水曜日	0.57
708	2026-07-09	木曜日	0.37
709	2026-07-10	金曜日	0.56
710	2026-07-11	土曜日	0.49
711	2026-07-12	日曜日	0.28
712	2026-07-13	月曜日	0.48
713	2026-07-14	火曜日	0.27
714	2026-07-15	水曜日	0.62
715	2026-07-16	木曜日	0.33
716	2026-07-17	金曜日	0.69
717	2026-07-18	土曜日	0.55
718	2026-07-19	日曜日	0.46
719	2026-07-20	月曜日	0.52
720	2026-07-21	火曜日	0.67
721	2026-07-22	水曜日	0.46
722	2026-07-23	木曜日	0.72
723	2026-07-24	金曜日	0.37
724	2026-07-25	土曜日	0.65
725	2026-07-26	日曜日	0.54
726	2026-07-27	月曜日	0.72
727	2026-07-28	火曜日	0.30
728	2026-07-29	水曜日	0.36
729	2026-07-30	木曜日	0.70
730	2026-07-31	金曜日	0.51
731	2026-08-01	土曜日	0.40
732	2026-08-02	日曜日	0.76
733	2026-08-03	月曜日	0.65
734	2026-08-04	火曜日	0.32
735	2026-08-05	水曜日	0.65
736	2026-08-06	木曜日	0.26
737	2026-08-07	金曜日	0.48
738	2026-08-08	土曜日	0.55
739	2026-08-09	日曜日	0.28
740	2026-08-10	月曜日	0.25
741	2026-08-11	火曜日	0.31
742	2026-08-12	水曜日	0.42
743	2026-08-13	木曜日	0.49
744	2026-08-14	金曜日	0.59
745	2026-08-15	土曜日	0.53
746	2026-08-16	日曜日	0.75
747	2026-08-17	月曜日	0.67
748	2026-08-18	火曜日	0.39
749	2026-08-19	水曜日	0.68
750	2026-08-20	木曜日	0.29
751	2026-08-21	金曜日	0.43
752	2026-08-22	土曜日	0.34
753	2026-08-23	日曜日	0.68
754	2026-08-24	月曜日	0.70
755	2026-08-25	火曜日	0.57
756	2026-08-26	水曜日	0.55
757	2026-08-27	木曜日	0.25
758	2026-08-28	金曜日	0.38
759	2026-08-29	土曜日	0.38
760	2026-08-30	日曜日	0.71
761	2026-08-31	月曜日	0.31
762	2026-09-01	火曜日	0.54
763	2026-09-02	水曜日	0.53
764	2026-09-03	木曜日	0.61
765	2026-09-04	金曜日	0.45
766	2026-09-05	土曜日	0.76
767	2026-09-06	日曜日	0.45
768	2026-09-07	月曜日	0.61
769	2026-09-08	火曜日	0.60
770	2026-09-09	水曜日	0.55
771	2026-09-10	木曜日	0.64
772	2026-09-11	金曜日	0.56
773	2026-09-12	土曜日	0.25
774	2026-09-13	日曜日	0.69
775	2026-09-14	月曜日	0.54
776	2026-09-15	火曜日	0.32
